Title,Description,Destination Link,Media File Path
Round Tables vs. Long Tables: Reception Layout,"Compare round and long banquet tables on one floor plan. Drag seats in TIKTAK and print a clean wedding seating chart — free in the browser, no login.",https://tik-tak.online,output/pins/round-vs-long-tables.png
150-Guest Wedding Seating Arrangement,"Plan a 150-guest reception with capacity you can see. Seat parties on round tables, resolve conflicts, and export a print-ready chart with TIKTAK.",https://tik-tak.online,output/pins/150-guest-seating.png
Head Table vs. Sweetheart Table Setup,See head table and sweetheart table setups side by side. Build your bridal party seats and guest floor plan free in TIKTAK — no account required.,https://tik-tak.online,output/pins/head-vs-sweetheart.png
Separated Seating: Divorced Parents Guide,Keep divorced parents comfortably apart with clear side-based seating. Map family tables in TIKTAK’s free drag-and-drop wedding seating chart.,https://tik-tak.online,output/pins/divorced-parents-seating.png
Free Drag-and-Drop Wedding Seating Chart,"Build your wedding seating chart in the browser — drag guests onto tables, check conflicts, print clean. Free to plan on TIKTAK, no login required.",https://tik-tak.online,output/pins/free-drag-drop-chart.png
Bridal Party Seating Chart Template,Seat the bridal party at a long head table and place guest rounds beyond. Use TIKTAK’s free template-style floor plan — edit in the browser.,https://tik-tak.online,output/pins/bridal-party-template.png
Family Table Placement for Wedding Reception,Place family tables near the couple without crowding the dance floor. Arrange parties visually in TIKTAK and print your reception seating chart.,https://tik-tak.online,output/pins/family-table-placement.png
U-Shape Banquet Layout for Weddings,Lay out a U-shape banquet for speeches and sightlines. Prototype long-table geometry in TIKTAK’s free wedding seating tool — no signup.,https://tik-tak.online,output/pins/u-shape-banquet.png
Wedding Floor Plan for 100 Guests,"A clear 100-guest wedding floor plan with rounds, aisles, and room to move. Build and print it free in TIKTAK — browser-based, no login.",https://tik-tak.online,output/pins/100-guest-floor-plan.png
Who Sits Where: Wedding Seating Etiquette,"Turn seating etiquette into a visual map — VIP tables, friends, and coworkers in the right zones. Plan free with TIKTAK’s drag-and-drop chart.",https://tik-tak.online,output/pins/who-sits-where-etiquette.png
